name,url,img_url,price,tokens
"Solgar Cinnamon 솔가 시나몬 파우더 200mg 시나몬 농축성분 300mg 100정 1정/1일. Non-GMO Vegan Gluten Free, 1병, 100캡슐",https://www.coupang.com/vp/products/5184939432?itemId=7182099326&vendorItemId=70407580346,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,30880,솔 가 시나몬 파우더 시나몬 농축 성분 정정 일병 캡슐
"미샤 톡스 비건 착즙 포켓 수면팩 스킨 스무더 멜팅크림, 1개입, 20개",https://www.coupang.com/vp/products/5227222904?itemId=7348730587&vendorItemId=74639939667,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,21450,미샤 톡스 비건 착즙 포켓 수면 팩 스킨스 무더 멜 팅 크림  
"네이쳐스웨이 징크골드 아이즈 루테인 20mg 비건 타블렛, 60개입, 1개",https://www.coupang.com/vp/products/2550358?itemId=40690&vendorItemId=3180741665,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,25020,네이쳐 스웨 이징 크 골드 아이즈 루테 인 비건 타블렛  
"네이쳐스웨이 시슬린 리버 서포트 포뮬러 베지테리안 캡슐 글루텐 프리 비건, 4개, 60개입",https://www.coupang.com/vp/products/2132632281?itemId=11733106894&vendorItemId=79007060967,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,157800,네이쳐 스웨 이 시슬 린 리버 서 포트 포 뮬러 베지테 리안 캡슐 글루텐 프리 비건  
"엔자이메디카 다이제스트 베이직 캡슐 비건, 180캡슐, 2개",https://www.coupang.com/vp/products/678660?itemId=9290050932&vendorItemId=78563800032,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,40390,엔 자 이 메 디카 다이제스트 베이직 캡슐 비건 캡슐 
"에너데이 녹차유산균 분말 녹차유래유산균 프로바이오틱스 식물성 비건 락토바실러스 플란타룸 가세리 프리바이오틱스 프락토올리고당 유산균먹이 비타민 엽산 비오틴 판토텐산칼슘, 2개, 230g",https://www.coupang.com/vp/products/1616142541?itemId=2758689383&vendorItemId=70748594425,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,55900,에 너 데이 녹차 유산균 분말 녹차 유래 유산균 프로바이오틱스 식물 성비 건락 토바 실러 스플란타룸 가 세리 프리바이오틱 스프 락토 올리고당 유산균 먹이 비타민 엽산 비오틴 판토텐산 칼슘 
"멜릭서 비건 에어핏 선스크린, 50ml, 1개",https://www.coupang.com/vp/products/5263313762?itemId=7483033107&vendorItemId=74773844090,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,30000,멜 릭 서 비건 에어 핏선 스크린 
"엔자이메디카 다이제스트 베이직 캡슐 비건, 180개입, 1개",https://www.coupang.com/vp/products/678660?itemId=2438362&vendorItemId=3216140625,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,21260,엔 자 이 메 디카 다이제스트 베이직 캡슐 비건  
"쏘두위 비건 오일풀링 치약, 100g, 9개",https://www.coupang.com/vp/products/2150031101?itemId=12459547491&vendorItemId=79728537470,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,152700,쏘 두 위 비건 오 일 풀링 치약 
"휘게 비건 선크림 SPF50+ PA++++, 50ml, 8개",https://www.coupang.com/vp/products/5418143016?itemId=12459360453&vendorItemId=79728437459,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,153840,휘 게 비건 선크림 
"Solgar Super Ginkgo 솔가 은행잎 성분 식물성캡슐 60정 1정/1일. 항산화 신경계 뇌 Non-GMO Vegan Gluten Free, 1병",https://www.coupang.com/vp/products/5049718773?itemId=6808735694&vendorItemId=70407645603,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,39710,솔 가 은행 잎 성분 식물성 캡슐 정정 일 항산화 신경계 뇌병
"나우푸드 뉴트리셔널 이스트 파우더 비건, 284g, 1개",https://www.coupang.com/vp/products/587441?itemId=2073545&vendorItemId=3213582880,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,12110,나우 푸드 뉴 트리 셔널 이스트 파우더 비건 
